00:02:20 - 00:02:26and it doesn&#39;t taste like it&#39;s got,00:02:20,and it doesn&#39;t taste like it&#39;s got
00:02:22 - 00:02:29artificial flavors uh it&#39;s a it&#39;s a fine,00:02:22,artificial flavors uh it&#39;s a it&#39;s a fine
00:02:26 - 00:02:32product he&#39;s a conso you can tell he&#39;s a,00:02:26,product he&#39;s a conso you can tell he&#39;s a
00:02:29 - 00:02:35con a KAC connoisseur he understands the,00:02:29,con a KAC connoisseur he understands the
00:02:32 - 00:02:38method that goes into making knac right,00:02:32,method that goes into making knac right
00:02:35 - 00:02:41well as a comedian you get free drinks,00:02:35,well as a comedian you get free drinks
00:02:38 - 00:02:44at the club so all comedians either turn,00:02:38,at the club so all comedians either turn
00:02:41 - 00:02:47out to be connoisseurs like myself or,00:02:41,out to be connoisseurs like myself or
00:02:44 - 00:02:49straight up and down alcoholics like 60%,00:02:44,straight up and down alcoholics like 60%
00:02:47 - 00:02:51of,00:02:47,of
00:02:49 - 00:02:53Hollywood well thanks thanks for,00:02:49,Hollywood well thanks thanks for
00:02:51 - 00:02:54stopping by the club I understand that,00:02:51,stopping by the club I understand that
00:02:53 - 00:02:56you&#39;re very very busy and for you to,00:02:53,you&#39;re very very busy and for you to
00:02:54 - 00:02:58take time out of your busy schedule and,00:02:54,take time out of your busy schedule and
00:02:56 - 00:02:59stop in today we really really,00:02:56,stop in today we really really
00:02:58 - 00:03:01appreciate here at Club Shay Shay so,00:02:58,appreciate here at Club Shay Shay so
00:02:59 - 00:03:03thanks for stopping by cat and I needed,00:02:59,thanks for stopping by cat and I needed
00:03:01 - 00:03:06you to know why I came by yeah I need,00:03:01,you to know why I came by yeah I need
00:03:03 - 00:03:08you to tell us why people know I don&#39;t,00:03:03,you to tell us why people know I don&#39;t
00:03:06 - 00:03:10go everywhere I&#39;m not interested in,00:03:06,go everywhere I&#39;m not interested in
00:03:08 - 00:03:14talking to people unless it&#39;s like a,00:03:08,talking to people unless it&#39;s like a
00:03:10 - 00:03:16Larry King or somebody of an amazing ilk,00:03:10,Larry King or somebody of an amazing ilk
00:03:14 - 00:03:20that I would actually want to go talk to,00:03:14,that I would actually want to go talk to
00:03:16 - 00:03:22in real life okay um I don&#39;t do it so I,00:03:16,in real life okay um I don&#39;t do it so I
00:03:20 - 00:03:27can sell product and I got things to,00:03:20,can sell product and I got things to
00:03:22 - 00:03:32sell so let me come talk um you have a,00:03:22,sell so let me come talk um you have a
00:03:27 - 00:03:34great product here and as a fan base we,00:03:27,great product here and as a fan base we
00:03:32 - 00:03:37love the attention that you spend on the,00:03:32,love the attention that you spend on the
00:03:34 - 00:03:40guest we we love how much work you&#39;ve,00:03:34,guest we we love how much work you&#39;ve
00:03:37 - 00:03:42done how well you know them how prepared,00:03:37,done how well you know them how prepared
00:03:40 - 00:03:44you are the same things that we liked,00:03:40,you are the same things that we liked
00:03:42 - 00:03:47about you in football you brought that,00:03:42,about you in football you brought that
00:03:44 - 00:03:50on over to here and that&#39;s uh why it,00:03:44,on over to here and that&#39;s uh why it
00:03:47 - 00:03:53resonates and the reason I had to come,00:03:47,resonates and the reason I had to come
00:03:50 - 00:03:55is because you made a safe place for the,00:03:50,is because you made a safe place for the
00:03:53 - 00:03:58truth to be told you know what I mean,00:03:53,truth to be told you know what I mean
00:03:55 - 00:04:02thank and I have watched all of these,00:03:55,thank and I have watched all of these
00:03:58 - 00:04:05low breath prow comedians come here and,00:03:58,low breath prow comedians come here and
00:04:02 - 00:04:08disrespect you in your face and tell you,00:04:02,disrespect you in your face and tell you
00:04:05 - 00:04:11straight up lies I&#39;m talking about,00:04:05,straight up lies I&#39;m talking about
00:04:08 - 00:04:13things that have never been heard in all,00:04:08,things that have never been heard in all
00:04:11 - 00:04:15of black Hollywood they feel comfortable,00:04:11,of black Hollywood they feel comfortable
00:04:13 - 00:04:17sitting here and lying to you about it,00:04:13,sitting here and lying to you about it
00:04:15 - 00:04:19you going say the record straight are,00:04:15,you going say the record straight are
00:04:17 - 00:04:22you kidding me you let Ricky Smiley sit,00:04:17,you kidding me you let Ricky Smiley sit
00:04:19 - 00:04:26here and you said out that mouth you,00:04:19,here and you said out that mouth you
00:04:22 - 00:04:31stole Friday After Next the one I was in,00:04:22,stole Friday After Next the one I was in
00:04:26 - 00:04:33I wish all all of americ fumbled a bit,00:04:26,I wish all all of americ fumbled a bit
00:04:31 - 00:04:36when that happened and then he said some,00:04:31,when that happened and then he said some
00:04:33 - 00:04:38stuff that we haven&#39;t heard in 100 years,00:04:33,stuff that we haven&#39;t heard in 100 years
00:04:36 - 00:04:42in Hollywood you ain&#39;t say nothing this,00:04:36,in Hollywood you ain&#39;t say nothing this
00:04:38 - 00:04:45man told you he had Cat Williams role he,00:04:38,man told you he had Cat Williams role he
00:04:42 - 00:04:47was going to be Money Mike and Cat,00:04:42,was going to be Money Mike and Cat
00:04:45 - 00:04:50Williams was going to be was going to be,00:04:45,Williams was going to be was going to be
00:04:47 - 00:04:53the Santa Claus now let&#39;s three quick,00:04:47,the Santa Claus now let&#39;s three quick
00:04:50 - 00:04:56points you mean in Hollywood they cast a,00:04:50,points you mean in Hollywood they cast a
00:04:53 - 00:04:595 foot5 black Santa Claus that weigh 145,00:04:53,5 foot5 black Santa Claus that weigh 145
00:04:56 - 00:05:01lbs that&#39;s your story your story is the,00:04:56,lbs that&#39;s your story your story is the
00:04:59 - 00:05:04Ricky Smiley that couldn&#39;t even do curse,00:04:59,Ricky Smiley that couldn&#39;t even do curse
00:05:01 - 00:05:07words because he had a Christian fan,00:05:01,words because he had a Christian fan
00:05:04 - 00:05:09base he was going to play the pimp why,00:05:04,base he was going to play the pimp why
00:05:07 - 00:05:11you didn&#39;t ask him why has he played a,00:05:07,you didn&#39;t ask him why has he played a
00:05:09 - 00:05:14woman in more movies than he&#39;s played a,00:05:09,woman in more movies than he&#39;s played a
00:05:11 - 00:05:17man well I didn&#39;t know he he shouldn&#39;t,00:05:11,man well I didn&#39;t know he he shouldn&#39;t
00:05:14 - 00:05:20be able you wouldn&#39;t let a athlete that,00:05:14,be able you wouldn&#39;t let a athlete that
00:05:17 - 00:05:23been on steroids talk about one of the,00:05:17,been on steroids talk about one of the
00:05:20 - 00:05:26greats Ricky Smiley can&#39;t act cuz Ricky,00:05:20,greats Ricky Smiley can&#39;t act cuz Ricky
00:05:23 - 00:05:28Smiley can&#39;t act he told you the story,00:05:23,Smiley can&#39;t act he told you the story
00:05:26 - 00:05:31about when the movie came out where did,00:05:26,about when the movie came out where did
00:05:28 - 00:05:33he say he watch it at home he wasn&#39;t,00:05:28,he say he watch it at home he wasn&#39;t
00:05:31 - 00:05:36even at the premiere you telling this,00:05:31,even at the premiere you telling this
00:05:33 - 00:05:39man you stole that oh so he could get,00:05:33,man you stole that oh so he could get
00:05:36 - 00:05:42his name in the same sentence with a,00:05:36,his name in the same sentence with a
00:05:39 - 00:05:44great one it is sad he was just that,00:05:39,great one it is sad he was just that
00:05:42 - 00:05:47bitter when we were shooting it he told,00:05:42,bitter when we were shooting it he told
00:05:44 - 00:05:48everybody it should have been my role,00:05:44,everybody it should have been my role
00:05:47 - 00:05:52everybody on the scene why do you think,00:05:47,everybody on the scene why do you think
00:05:48 - 00:05:53no cast member has ever said anything he,00:05:48,no cast member has ever said anything he
00:05:52 - 00:05:57couldn&#39;t have played that role like you,00:05:52,couldn&#39;t have played that role like you
00:05:53 - 00:06:01I thought he sir no one why no he was,00:05:53,I thought he sir no one why no he was
00:05:57 - 00:06:03with KD he beat get up Terry Cruz why,00:05:57,with KD he beat get up Terry Cruz why
00:06:01 - 00:06:05nobody know this story you talking about,00:06:01,nobody know this story you talking about
00:06:03 - 00:06:09in Hollywood they switched off road you,00:06:03,in Hollywood they switched off road you
00:06:05 - 00:06:12take this and he what so Ricky Ricky,00:06:05,take this and he what so Ricky Ricky
00:06:09 - 00:06:14Smiley knows this and I don&#39;t know why,00:06:09,Smiley knows this and I don&#39;t know why
00:06:12 - 00:06:15he would lose a child and come on the,00:06:12,he would lose a child and come on the
00:06:14 - 00:06:18air and start lying that&#39;s why people,00:06:14,air and start lying that&#39;s why people
00:06:15 - 00:06:19believe in rituals right there is,00:06:15,believe in rituals right there is
00:06:18 - 00:06:22because well why would he lie I don&#39;t,00:06:18,because well why would he lie I don&#39;t
00:06:19 - 00:06:26know why Liars lie but I can tell you,00:06:19,know why Liars lie but I can tell you
00:06:22 - 00:06:30this we auditioned in Los Angeles yes I,00:06:22,this we auditioned in Los Angeles yes I
00:06:26 - 00:06:33was audition number 2011,00:06:26,was audition number 2011
00:06:30 - 00:06:35200 black comedians auditioned for the,00:06:30,200 black comedians auditioned for the
00:06:33 - 00:06:38role of Money Mike with me you&#39;re saying,00:06:33,role of Money Mike with me you&#39;re saying
00:06:35 - 00:06:40all 200 and one of us was auditioning,00:06:35,all 200 and one of us was auditioning
00:06:38 - 00:06:43and you had already had the roll and had,00:06:38,and you had already had the roll and had
00:06:40 - 00:06:45already shot the roll in four,00:06:40,already shot the roll in four
00:06:43 - 00:06:47days the truth of the matter is the,00:06:43,days the truth of the matter is the
00:06:45 - 00:06:50Money Mike in the original script got,00:06:45,Money Mike in the original script got
00:06:47 - 00:06:52raped in the bathroom and that&#39;s what,00:06:47,raped in the bathroom and that&#39;s what
00:06:50 - 00:06:55Ricky Smiley was okay,00:06:50,Ricky Smiley was okay
00:06:52 - 00:06:58with Cat Williams had to take the risk,00:06:52,with Cat Williams had to take the risk
00:06:55 - 00:07:01in front of the studios and the cast and,00:06:55,in front of the studios and the cast and
00:06:58 - 00:07:03our power hours that be in his very,00:06:58,our power hours that be in his very
00:07:01 - 00:07:07first movie and say,00:07:01,first movie and say
00:07:03 - 00:07:08respectfully humbly guys if we talking,00:07:03,respectfully humbly guys if we talking
00:07:07 - 00:07:11about anything else I have no,00:07:07,about anything else I have no
00:07:08 - 00:07:13credibility and I have no pull but we&#39;re,00:07:08,credibility and I have no pull but we&#39;re
00:07:11 - 00:07:17talking about comedy right where I have,00:07:11,talking about comedy right where I have
00:07:13 - 00:07:21all the credibility and all the pool the,00:07:13,all the credibility and all the pool the
00:07:17 - 00:07:24problem with Friday After Next is we&#39;re,00:07:17,problem with Friday After Next is we&#39;re
00:07:21 - 00:07:27trying to make a classic comedy and this,00:07:21,trying to make a classic comedy and this
00:07:24 - 00:07:31comedy involves a rape and rape is never,00:07:24,comedy involves a rape and rape is never
00:07:27 - 00:07:34funny no matter who who it happens to or,00:07:27,funny no matter who who it happens to or
00:07:31 - 00:07:37what the circumstances are if you would,00:07:31,what the circumstances are if you would
00:07:34 - 00:07:40allow me to allow us to do this movie,00:07:34,allow me to allow us to do this movie
00:07:37 - 00:07:43without a black man getting raped in it,00:07:37,without a black man getting raped in it
00:07:40 - 00:07:47I promise you that it will be twice as,00:07:40,I promise you that it will be twice as
00:07:43 - 00:07:49funny as it would be with him getting,00:07:43,funny as it would be with him getting
00:07:47 - 00:07:53raped so considering that&#39;s the real,00:07:47,raped so considering that&#39;s the real
00:07:49 - 00:07:56story why would you bring up that story,00:07:49,story why would you bring up that story
00:07:53 - 00:07:5935 members of the cast and crew have,00:07:53,35 members of the cast and crew have
00:07:56 - 00:08:03never brought up that Ricky Smiley was,00:07:56,never brought up that Ricky Smiley was
00:07:59 - 00:08:05GNA play Money Mike no one ever saw me,00:07:59,GNA play Money Mike no one ever saw me
00:08:03 - 00:08:07put on a Santa Claus suit we got a,00:08:03,put on a Santa Claus suit we got a
00:08:05 - 00:08:09wardrobe department they made a santa,00:08:05,wardrobe department they made a santa
00:08:07 - 00:08:11claw suit for me why that wasn&#39;t in the,00:08:07,claw suit for me why that wasn&#39;t in the
00:08:09 - 00:08:13bloopers what and and here&#39;s the other,00:08:09,bloopers what and and here&#39;s the other
00:08:11 - 00:08:16thing everything that money Mike said,00:08:11,thing everything that money Mike said
00:08:13 - 00:08:17Cat Williams wrote so what Ricky Smiley,00:08:13,Cat Williams wrote so what Ricky Smiley
00:08:16 - 00:08:21say on,00:08:16,say on
00:08:17 - 00:08:24his you can&#39;t say my lines I wrote,00:08:17,his you can&#39;t say my lines I wrote
00:08:21 - 00:08:26them that&#39;s how I all ready know that,00:08:21,them that&#39;s how I all ready know that
00:08:24 - 00:08:29I&#39;m going to be funnier than you what he,00:08:24,I&#39;m going to be funnier than you what he
00:08:26 - 00:08:31told everybody was Cat Williams and,00:08:26,told everybody was Cat Williams and
00:08:29 - 00:08:34don&#39;t nobody know who he is I&#39;m on the,00:08:29,don&#39;t nobody know who he is I&#39;m on the
00:08:31 - 00:08:36radio I&#39;m with Steven said everybody,00:08:31,radio I&#39;m with Steven said everybody
00:08:34 - 00:08:38know me that&#39;s what he told everybody,00:08:34,know me that&#39;s what he told everybody
00:08:36 - 00:08:41that we listen to on the set that&#39;s the,00:08:36,that we listen to on the set that&#39;s the
00:08:38 - 00:08:45truth of the matter he was so egregious,00:08:38,truth of the matter he was so egregious
00:08:41 - 00:08:47not now then he was so egregious that,00:08:41,not now then he was so egregious that
00:08:45 - 00:08:49and Hollywood has never heard this in a,00:08:45,and Hollywood has never heard this in a
00:08:47 - 00:08:51hundred years he was so egregious I put,00:08:47,hundred years he was so egregious I put
00:08:49 - 00:08:53in my contract that I won&#39;t work with,00:08:49,in my contract that I won&#39;t work with
00:08:51 - 00:08:56Ricky Smiley again unless he&#39;s in a,00:08:51,Ricky Smiley again unless he&#39;s in a
00:08:53 - 00:09:00dress now what was Ricky Smiley&#39;s next,00:08:53,dress now what was Ricky Smiley&#39;s next
00:08:56 - 00:09:03movie was it first Sunday did he wear a,00:08:56,movie was it first Sunday did he wear a
00:09:00 - 00:09:06dress in it you bet he did it&#39;s in my,00:09:00,dress in it you bet he did it&#39;s in my
00:09:03 - 00:09:08contract why would you put that in your,00:09:03,contract why would you put that in your
00:09:06 - 00:09:10with in your contract cat that&#39;s where,00:09:06,with in your contract cat that&#39;s where
00:09:08 - 00:09:13he&#39;s the a believable,00:09:08,he&#39;s the a believable
00:09:10 - 00:09:15actor him and Tyler Perry can&#39;t play a,00:09:10,actor him and Tyler Perry can&#39;t play a
00:09:13 - 00:09:17man to save their,00:09:13,man to save their
00:09:15 - 00:09:19life they play good women and I believe,00:09:15,life they play good women and I believe
00:09:17 - 00:09:22that the best actor should be in the,00:09:17,that the best actor should be in the
00:09:19 - 00:09:24best role so that&#39;s why because when we,00:09:19,best role so that&#39;s why because when we
00:09:22 - 00:09:27released that clip and he said that you,00:09:22,released that clip and he said that you
00:09:24 - 00:09:29responded because he said he was,00:09:24,responded because he said he was
00:09:27 - 00:09:31supposed to play money mik and you were,00:09:27,supposed to play money mik and you were
00:09:29 - 00:09:34supposed to say play Santa Claus an,00:09:29,supposed to say play Santa Claus an
00:09:31 - 00:09:37outright lie so that he knows is a lie,00:09:31,outright lie so that he knows is a lie
00:09:34 - 00:09:39so why would he say it cuz he&#39;s a liar,00:09:34,so why would he say it cuz he&#39;s a liar
00:09:37 - 00:09:41Nobody Knows Why Liars lie and that&#39;s,00:09:37,Nobody Knows Why Liars lie and that&#39;s
00:09:39 - 00:09:44why I had to come on the program Cedric,00:09:39,why I had to come on the program Cedric
00:09:41 - 00:09:45did the same thing Cedric told you when,00:09:41,did the same thing Cedric told you when
00:09:44 - 00:09:48you asked him did you steal Cat Williams,00:09:44,you asked him did you steal Cat Williams
00:09:45 - 00:09:51joke he said it don&#39;t line up how it,00:09:45,joke he said it don&#39;t line up how it
00:09:48 - 00:09:53don&#39;t line up that I did it on TV in,00:09:48,don&#39;t line up that I did it on TV in
00:09:51 - 00:09:562018 you came to see me at The Comedy,00:09:51,2018 you came to see me at The Comedy
00:09:53 - 00:09:58Store do it in 2019 and then did it on,00:09:53,Store do it in 2019 and then did it on
00:09:56 - 00:10:02the Kings of Comedy like what doesn&#39;t,00:09:56,the Kings of Comedy like what doesn&#39;t
00:09:58 - 00:10:04line up I this is a televised joke that,00:09:58,line up I this is a televised joke that
00:10:02 - 00:10:07Mark Curry helped me punch up and get to,00:10:02,Mark Curry helped me punch up and get to
00:10:04 - 00:10:10the level that it was the same Steve,00:10:04,the level that it was the same Steve
00:10:07 - 00:10:13that went to go watch Mark Curry do his,00:10:07,that went to go watch Mark Curry do his
00:10:10 - 00:10:16whole sitcom and then stole everything,00:10:10,whole sitcom and then stole everything
00:10:13 - 00:10:18Mark Curry had now Steve got a sitcom,00:10:13,Mark Curry had now Steve got a sitcom
00:10:16 - 00:10:21where he the principal and he wear a,00:10:16,where he the principal and he wear a
00:10:18 - 00:10:23suit and he and then he gets this high,00:10:18,suit and he and then he gets this high
00:10:21 - 00:10:25top fade making all black men think he,00:10:21,top fade making all black men think he
00:10:23 - 00:10:29got the best lineup in the business and,00:10:23,got the best lineup in the business and
00:10:25 - 00:10:32it&#39;s a man unit then you ask why you not,00:10:25,it&#39;s a man unit then you ask why you not
00:10:29 - 00:10:35a movie star I didn&#39;t want to be a movie,00:10:29,a movie star I didn&#39;t want to be a movie
00:10:32 - 00:10:38star that&#39;s the same negro that hated on,00:10:32,star that&#39;s the same negro that hated on
00:10:35 - 00:10:40Bernie with this same thing I didn&#39;t,00:10:35,Bernie with this same thing I didn&#39;t
00:10:38 - 00:10:43want to be a movie star no you couldn&#39;t,00:10:38,want to be a movie star no you couldn&#39;t
"00:10:40 - 00:10:45be a movie star there are 30,000 new",00:10:40,"be a movie star there are 30,000 new"
00:10:43 - 00:10:47scripts in Hollywood every year not one,00:10:43,scripts in Hollywood every year not one
00:10:45 - 00:10:50of them asked for a country bumpkin,00:10:45,of them asked for a country bumpkin
00:10:47 - 00:10:52black dude that can&#39;t talk good over and,00:10:47,black dude that can&#39;t talk good over and
00:10:50 - 00:10:54look like Mr Potato Head there ain&#39;t,00:10:50,look like Mr Potato Head there ain&#39;t
00:10:52 - 00:10:57none you would have to have a,00:10:52,none you would have to have a
00:10:54 - 00:10:59range I played a lot of characters 60,00:10:54,range I played a lot of characters 60
00:10:57 - 00:11:00movie roles I&#39;m not playing Cat Williams,00:10:57,movie roles I&#39;m not playing Cat Williams
00:10:59 - 00:11:03in,00:10:59,in
00:11:00 - 00:11:04there I don&#39;t know I don&#39;t know cat we,00:11:00,there I don&#39;t know I don&#39;t know cat we
00:11:03 - 00:11:06might not let you drink anymore the way,00:11:03,might not let you drink anymore the way
00:11:04 - 00:11:11you you I mean we ain&#39;t even got I&#39;m not,00:11:04,you you I mean we ain&#39;t even got I&#39;m not
00:11:06 - 00:11:14fuel by alcohol I&#39;ve had a sip less than,00:11:06,fuel by alcohol I&#39;ve had a sip less than
00:11:11 - 00:11:16you the truth don&#39;t need motivation I&#39;m,00:11:11,you the truth don&#39;t need motivation I&#39;m
00:11:14 - 00:11:18just saying I can&#39;t let these dudes lie,00:11:14,just saying I can&#39;t let these dudes lie
00:11:16 - 00:11:20Cedric sitting here telling you why he,00:11:16,Cedric sitting here telling you why he
00:11:18 - 00:11:22ain&#39;t a movie star he over here look,00:11:18,ain&#39;t a movie star he over here look
00:11:20 - 00:11:25like a walrus you didn&#39;t say nothing he,00:11:20,like a walrus you didn&#39;t say nothing he
00:11:22 - 00:11:29can&#39;t even get his arms off his stomach,00:11:22,can&#39;t even get his arms off his stomach
00:11:25 - 00:11:31sitting over why I&#39;m not a movie what he,00:11:25,sitting over why I&#39;m not a movie what he
00:11:29 - 00:11:32never wrote anything remember when,00:11:29,never wrote anything remember when
00:11:31 - 00:11:34Cedric the Entertainer starts he&#39;s,00:11:31,Cedric the Entertainer starts he&#39;s
00:11:32 - 00:11:36supposed to be singing dancing and,00:11:32,supposed to be singing dancing and
00:11:34 - 00:11:38telling jokes that&#39;s why he&#39;s called the,00:11:34,telling jokes that&#39;s why he&#39;s called the
00:11:36 - 00:11:41Entertainer we found out he can&#39;t sing,00:11:36,Entertainer we found out he can&#39;t sing
00:11:38 - 00:11:44can&#39;t dance and doesn&#39;t write jokes he,00:11:38,can&#39;t dance and doesn&#39;t write jokes he
00:11:41 - 00:11:46did four comedy specials they&#39;re so bad,00:11:41,did four comedy specials they&#39;re so bad
00:11:44 - 00:11:49Shannon they&#39;re not available on Netflix,00:11:44,Shannon they&#39;re not available on Netflix
00:11:46 - 00:11:52or tub can I say that again for the,00:11:46,or tub can I say that again for the
00:11:49 - 00:11:55audience they&#39;re so bad that they&#39;re not,00:11:49,audience they&#39;re so bad that they&#39;re not
00:11:52 - 00:11:58available on Netflix or Tob you don&#39;t,00:11:52,available on Netflix or Tob you don&#39;t
00:11:55 - 00:12:00think s&#39;s a good a good comedian the,00:11:55,think s&#39;s a good a good comedian the
00:11:58 - 00:12:03world doesn&#39;t think that sir I have 12,00:11:58,world doesn&#39;t think that sir I have 12
00:12:00 - 00:12:07comedy specials he has four specials,00:12:00,comedy specials he has four specials
00:12:03 - 00:12:10that are not available on Netflix or to,00:12:03,that are not available on Netflix or to
00:12:07 - 00:12:13be it seems to me cat that you had a lot,00:12:07,be it seems to me cat that you had a lot
00:12:10 - 00:12:16to get off your chest no no you wanted,00:12:10,to get off your chest no no you wanted
00:12:13 - 00:12:19to set the record winners are not,00:12:13,to set the record winners are not
00:12:16 - 00:12:22allowed to allow losers to rewrite,00:12:16,allowed to allow losers to rewrite
00:12:19 - 00:12:25history I don&#39;t say any of these things,00:12:19,history I don&#39;t say any of these things
00:12:22 - 00:12:26if my name is not breached by these,00:12:22,if my name is not breached by these
00:12:25 - 00:12:29people on your,00:12:25,people on your
00:12:26 - 00:12:32platform they if you give a liar a,00:12:26,platform they if you give a liar a
00:12:29 - 00:12:36platform to lie then I I&#39;m not being,00:12:29,platform to lie then I I&#39;m not being
00:12:32 - 00:12:39messy by saying hold on that never,00:12:32,messy by saying hold on that never
00:12:36 - 00:12:42happened it&#39;s untrue and there are,00:12:36,happened it&#39;s untrue and there are
00:12:39 - 00:12:46hundreds of witnesses for each thing I&#39;m,00:12:39,hundreds of witnesses for each thing I&#39;m
00:12:42 - 00:12:48saying so let me ask you this what is,00:12:42,saying so let me ask you this what is
00:12:46 - 00:12:50your relationship with Steve Harvey,00:12:46,your relationship with Steve Harvey
00:12:48 - 00:12:54Ricky Smiley and Cedric Entertainer as,00:12:48,Ricky Smiley and Cedric Entertainer as
00:12:50 - 00:12:56you sit here currently they for 30 years,00:12:50,you sit here currently they for 30 years
00:12:54 - 00:12:59they&#39;re a group these aren&#39;t three,00:12:54,they&#39;re a group these aren&#39;t three
00:12:56 - 00:13:02random guys the way that that Ricky,00:12:56,random guys the way that that Ricky
00:12:59 - 00:13:05Smiley kept appearing at all of my,00:12:59,Smiley kept appearing at all of my
00:13:02 - 00:13:07auditions is because of Stephen said he,00:13:02,auditions is because of Stephen said he
00:13:05 - 00:13:10would tell anybody that listen they got,00:13:05,would tell anybody that listen they got
00:13:07 - 00:13:13a gang on that side they know what it is,00:13:07,a gang on that side they know what it is
